3_genus_incertae_sedis,Acidisoma,Acidisphaera,Acidobacteria_Gp1,Acidobacteria_Gp14,Acidobacteria_Gp3,Acidocella,Acidothermus,Actinobacterium,Actinomadura,Actinospica,Afipia,Alkanibacter,Anaeromyxobacter,Aquicella,Archangium,Armatimonas_Armatimonadetes_gp1,Asticcacaulis,Azospirillium,Bdellovibrio,Bordetella,Bradyrhizobium,Burkholderia,Caulobacter,Chitinophaga,Collimonas,Conexibacter,Cryptosporangium,Devosia,Dongia,Escherichia_Shigella,Flavisolibacter,Fluviicola,Frankiaceae,Frankineae,Gemmata,Gemmatimonas,Granulibacter,Hyphomicrobium,Kofleria,Labrys,Leifsonia,Lysobacter,Mesorhizobium,Methylocystis,Methylovirgula,Microbacterium,Microbispora,Mucilaginibacter,Mycobacterium,Nitrosospira,Nocardia,Nocardioides,Novosphingobium,OD1_genus_incertae_sedis,Opitutus,Paenibacillus,Parachlamydia,Parvibaculum,Phenylobacterium,Planctomyces,Porphyrobacter,Prosthecobacter,Pseudolabrys,Pseudomonas,Pseudonocardia,Rhizobium,Rhizomicrobium,Rhodanobacter,Rhodobacter,Rhodoferax,Roseiarcus,Singulisphaera,Sinobacteraceae,Sorangiineae,Spartobacteria_genera_incertae_sedis,Sphingobium,Sphingomonas,Spirochaeta,Stella,Stigmatella,Streptomyces,Tardiphaga,Thermoanaerobacteraceae,Thermomonosporaceae,TM7_genus_incertae_sedis,unclassified,unclassified_Acidimicrobiaceae,unclassified_Actinomycetales,unclassified_Bacteroidetes,unclassified_Betaproteobacteria,unclassified_Firmicutes,unclassified_Gammaproteobacteria,unclassified_Myxococcales,unclassified_Rhizobiaceae,unclassified_Rhodospirillaceae,unclassified_Rubrobacteria,Unclassified_Solirubrobacter,unclassified_Sphingobacter,unclassified_Verrucomicrobia,Uncultured_Aquificae,uncultured_Chloroflexi,uncultured_Planctomycetaceae,Verrucomicrobium,Wandonia
1.395348837,0.23255814,0.558139535,7.255813953,0,0.604651163,0.093023256,0.186046512,4.790697674,4.23255814,1.302325581,2.139534884,0.139534884,0.093023256,0,0.418604651,0.093023256,0.093023256,1.11627907,1.162790698,0.186046512,1.023255814,0.325581395,1.720930233,4.093023256,0.093023256,0.465116279,0.186046512,0.558139535,0,0.325581395,0,0,0,0.465116279,0,2.23255814,2.790697674,0.093023256,0,0.093023256,0,0.279069767,1.720930233,0,2.046511628,7.209302326,0.139534884,0.744186047,0.372093023,0.23255814,0.744186047,0.186046512,0,2.790697674,0.186046512,0.093023256,0,0.093023256,0.976744186,0.558139535,0.418604651,1.720930233,1.813953488,0,0,0,14.65116279,8.651162791,0.418604651,1.860465116,1.813953488,0.279069767,0.23255814,0,0.139534884,0.093023256,0.139534884,0.093023256,0.093023256,0,0.976744186,0.372093023,0.186046512,0.511627907,0.186046512,0.418604651,0.279069767,0,0.558139535,0.093023256,0,0.558139535,1.348837209,0.372093023,0.604651163,0.139534884,0.186046512,0.511627907,0,0.093023256,0,1.069767442,0.186046512,0
1.707239962,0,0.505848878,10.84413531,0.126462219,0.727157762,0.189693329,0,5.026873222,5.153335441,1.991779956,0.284539994,0,0.158077774,0.126462219,0.158077774,0.158077774,0.094846665,0.822004426,2.181473285,0,0.727157762,0.379386658,1.327853304,4.23648435,0.316155549,0.885235536,0.158077774,0.189693329,0.126462219,0,0,0,0.316155549,0.695542207,0.06323111,0.916851091,2.434397724,0,0.06323111,0,0.06323111,0,0.569079987,0.126462219,0.853619981,7.650964274,0,0.853619981,0.06323111,0,0.442617768,0.06323111,0.189693329,0.158077774,0.379386658,0,0.158077774,0,1.422699968,0.06323111,0.221308884,0.822004426,1.359468859,0,0,0,13.18368637,10.14859311,0.06323111,1.707239962,2.813784382,0.252924439,0.379386658,0.06323111,0,0.06323111,0.06323111,0.094846665,0,0.094846665,0.474233323,0.126462219,0.189693329,0.379386658,1.10654442,0.505848878,0.537464433,0,0.126462219,0,0.06323111,1.612393298,2.307935504,0,0.853619981,0.505848878,0.347771103,0,0.189693329,0,0,2.118242175,0.221308884,0.221308884
1.499583449,0.249930575,0.388780894,9.497361844,0.055540128,0.527631214,0.111080255,0.055540128,4.526520411,6.303804499,1.610663705,2.138294918,0,0.249930575,0.055540128,0.222160511,0.055540128,0,1.055262427,0.888642044,0.194390447,0.36101083,0.416550958,1.916134407,5.109691752,0.055540128,0.583171341,0.305470703,0.388780894,0,0.166620383,0.055540128,0.86087198,0.138850319,0.527631214,0,1.166342683,2.832546515,0.222160511,0.055540128,0.055540128,0.083310192,0,1.36073313,0.194390447,1.666203832,7.692307692,0.111080255,1.582893641,0.111080255,0.166620383,0.527631214,0.194390447,0.305470703,1.471813385,0.055540128,0,0.055540128,0.055540128,1.110802555,0.583171341,0.472091086,0.138850319,2.166064982,0.083310192,0.055540128,0,10.77478478,8.692029992,0.249930575,2.304915301,1.888364343,0.583171341,0.083310192,0.083310192,0.138850319,0.055540128,0.444321022,0.333240766,0,0.055540128,1.055262427,0.305470703,0.166620383,0.416550958,0.555401277,0.416550958,0.49986115,0.111080255,0,0,0.111080255,0.555401277,1.194112746,0.333240766,0.805331852,0.388780894,0.49986115,0.222160511,0,0,0.055540128,0.916412108,0.222160511,0
0.786854895,0.046285582,0.485998611,5.322841935,0,0.161999537,0.138856746,0.046285582,2.314279102,4.026845638,1.041425596,2.221707938,0.069428373,0.138856746,0.092571164,0.67114094,0.046285582,1.249710715,0.925711641,0.439713029,0.092571164,1.36542467,0.694283731,4.281416339,4.674843786,0.555426984,0.370284656,0.069428373,1.36542467,0.046285582,0.208285119,0.300856283,0,0.092571164,0.370284656,0.138856746,0.995140014,1.643138162,0.46285582,0,0.115713955,0.046285582,0.485998611,1.619995371,0.161999537,1.758852118,4.003702847,0,1.504281416,0.254570701,0.069428373,0.138856746,0.185142328,0.23142791,0.46285582,0.370284656,0,0,0,2.059708401,0.555426984,0.740569313,1.272853506,1.897708864,0.046285582,0.046285582,0.069428373,12.49710715,10.55311271,0.185142328,0.370284656,1.666280953,0.555426984,0.254570701,0.092571164,0.948854432,0.23142791,1.8051377,0.624855358,0.115713955,0.138856746,1.712566536,0.485998611,0.138856746,0.809997686,0.277713492,0.185142328,0.277713492,0.254570701,0.138856746,0.161999537,0.092571164,0.833140477,0.740569313,0.347141865,0.717426522,0.069428373,0.046285582,0.161999537,0,0.046285582,0.115713955,2.429993057,0.046285582,0
0.758150114,0.303260045,0.53070508,6.444275967,0,0.53070508,0.151630023,0,3.3358605,8.718726308,1.137225171,2.350265353,0,0.151630023,0,0.833965125,0,0.303260045,0.985595148,0.909780136,0,0.454890068,0.53070508,2.805155421,4.700530705,0,0.833965125,0.151630023,1.66793025,0,0.151630023,0.227445034,0.227445034,0,0.379075057,0,2.426080364,2.426080364,0.454890068,0,0,0,0.53070508,1.516300227,0.151630023,1.743745262,5.53449583,0.303260045,0.454890068,0.758150114,0,0.682335102,0.151630023,0.454890068,1.895375284,0.151630023,0,0,0,1.061410159,0.758150114,0.303260045,0.454890068,1.971190296,0,0,0.151630023,11.14480667,7.581501137,0.227445034,2.19863533,2.577710387,0.303260045,0,0,0,0.151630023,0.227445034,0.227445034,0,0.151630023,4.018195603,0.379075057,0,0.454890068,0.833965125,0.227445034,0.379075057,0.303260045,0,0,0.151630023,0.53070508,0.985595148,0,0.227445034,0.303260045,0.682335102,0.303260045,0,0,0,0.606520091,0.379075057,0
1.03343465,0,0.425531915,11.27659574,0.121580547,0.881458967,0.243161094,0.09118541,5.805471125,4.164133739,0.759878419,0.121580547,0,0.212765957,0.151975684,0,0,0.060790274,0.85106383,1.79331307,0.060790274,1.610942249,0.334346505,1.246200608,4.407294833,0.334346505,1.428571429,0.151975684,0.395136778,0,0,0,0,0.060790274,0.425531915,0,1.185410334,1.823708207,0.060790274,0,0,0,0,0.395136778,0.151975684,1.094224924,8.024316109,0,1.063829787,0.182370821,0,0.121580547,0.121580547,0.212765957,0.151975684,0.455927052,0.151975684,0.729483283,0.060790274,1.428571429,0.243161094,0.455927052,0,1.580547112,0,0,0,13.00911854,9.270516717,0.060790274,2.188449848,2.401215805,0.212765957,0.212765957,0,0.273556231,0,0.09118541,0.364741641,0.060790274,0.060790274,1.063829787,0.060790274,0.151975684,1.094224924,1.732522796,0.699088146,0.607902736,0.395136778,0.455927052,0.060790274,0.212765957,1.215805471,1.063829787,0,0.911854103,0.516717325,0.729483283,0.151975684,0.060790274,0,0.09118541,1.580547112,0.182370821,0.243161094
