3_genus_incertae_sedis,Acidisoma,Acidisphaera,Aciditerrimonas,Acidobacteria_Gp1,Acidobacteria_Gp14,Acidobacteria_Gp3,Acidocella,Acidothermus,Actinobacterium,Actinomadura,Actinospica,Afipia,Alkanibacter,Anaeromyxobacter,Archangium,Armatimonas_Armatimonadetes_gp1,Asticcacaulis,Azospirillium,Bdellovibrio,Beijerinckia,Bordetella,Bosea,Bradyrhizobium,Burkholderia,Caulobacter,Chitinophaga,Cohnella,Collimonas,Conexibacter,Cryptosporangium,Devosia,Dongia,Flavobacterium,Fluviicola,Frankiaceae,Frankineae,Gallionella,Gemmata,Gemmatimonas,Granulibacter,Hyphomicrobium,Kaistia,Leifsonia,Massilia,Mesorhizobium,Methylobacterium,Methylocystis,Methylovirgula,Microbacterium,Mucilaginibacter,Mycobacterium,Niastella,Nocardia,Nocardioides,Novosphingobium,OD1_genus_incertae_sedis,Opitutus,Paenibacillus,Phenylobacterium,Planctomyces,Polyangium,Porphyrobacter,Prosthecobacter,Pseudolabrys,Pseudomonas,Pseudonocardia,Pullulanibacillus,Ramlibacter,Rhizobium,Rhizomicrobium,Rhodanobacter,Rhodococcus,Rhodoferax,Roseiarcus,Singulisphaera,Sinobacteraceae,Sorangiineae,Spartobacteria,Spartobacteria_genera_incertae_sedis,Sphingomonas,Spirochaeta,Spirosoma,Stella,Stigmatella,Streptomyces,Tardiphaga,Thermoanaerobacteraceae,Thermomonosporaceae,TM7_genus_incertae_sedis,unclassified,unclassified Acidimicrobiaceae,unclassified Actinomycetales,unclassified Bacteroidetes,unclassified Betaproteobacteria,unclassified Deltaproteobacteria,unclassified Firmicutes,unclassified Gammaproteobacteria,unclassified Myxococcales,unclassified Opitutae,unclassified Rhizobiaceae,unclassified Rhodospirillaceae,unclassified Roseateles,unclassified Rubrobacteria,Unclassified Solirubrobacter,unclassified Sphingobacter,unclassified Verrucomicrobia,uncultured Chloroflexi,uncultured Planctomycetaceae,uncultured Thermomicrobia,Verrucomicrobium,Wandonia
1.327433628,0.241351569,0.482703138,0.080450523,9.251810137,0.120675784,1.126307321,0.160901046,0.201126307,4.706355591,9.211584875,1.206757844,0.241351569,0.080450523,0.241351569,0,0,0.120675784,1.448109413,0.884955752,0,0,0,1.206757844,0.241351569,1.729686243,4.505229284,0,0.362027353,0.724054706,0.120675784,0.160901046,0.080450523,0,0.080450523,0.080450523,0.56315366,0.28157683,0,0.884955752,1.407884151,0.160901046,0,0,0,0.442477876,0,0.080450523,1.246983105,7.361222848,1.327433628,0.201126307,0,0.321802092,0.120675784,0.884955752,0.201126307,0.482703138,0,2.534191472,0.201126307,0,0.522928399,0.201126307,2.051488335,0,0,0,0,0,11.26307321,7.401448109,0,1.246983105,2.534191472,0.241351569,0.321802092,0.080450523,0,0.080450523,0.321802092,0.56315366,0,0.28157683,0.160901046,0.844730491,0.201126307,0.201126307,0.522928399,1.93081255,0.201126307,0.603378922,0.241351569,0.120675784,0,0,0.201126307,1.890587289,1.488334674,0.28157683,0.28157683,0.724054706,0,0.120675784,0.683829445,0.120675784,0.321802092,0.160901046,1.689460981,0,0.080450523,0.402252615
2.150762163,0.125287116,0.480267279,0,10.14825642,0.062643558,0.626435582,0.083524744,0.10440593,4.907078722,5.617039048,1.399039465,0.083524744,0.041762372,0.10440593,0,0.229693047,0.083524744,1.064940489,1.58697014,0.041762372,0.167049488,0,0.939653372,0.584673209,1.461683024,4.405930257,0,0.229693047,1.628732512,0.354980163,0.292336605,0,0,1.190227605,0.229693047,0.68907914,0.062643558,0,0.772603884,2.004593861,0.041762372,0,0,0,0.563792023,0,0.271455419,1.440801838,6.285237001,1.440801838,0.459386093,0,0.10440593,0.10440593,0.229693047,0.542910837,0.062643558,0.041762372,1.399039465,0.292336605,0,0.835247442,0.647316768,2.150762163,0,0,0,0,0,10.04385049,10.12737523,0,1.148465233,2.58926707,0.375861349,0.208811861,0.125287116,0.041762372,0,0.062643558,0.396742535,0,0.083524744,0.10440593,0.459386093,0.313217791,0.083524744,0.626435582,2.192524535,0.68907914,0.542910837,0.083524744,0.10440593,0.062643558,0,0.313217791,1.566088954,1.58697014,0.062643558,0.313217791,0.918772186,0.062643558,0.271455419,0.522029651,0.041762372,0.125287116,0,2.004593861,0.062643558,0.334098977,0.167049488
0.466299279,0.169563374,1.017380246,0.254345061,8.64773209,0,0.466299279,0.169563374,0.169563374,8.562950403,6.909707503,1.907587961,0,0,0.084781687,0,0.127172531,0.254345061,1.949978805,1.017380246,0,0.211954218,0,1.271725307,0.254345061,1.144552777,2.204323866,0,0,2.24671471,0,0.211954218,0,0,0.296735905,0.127172531,0.635862654,0,0,0.084781687,2.96735905,0,0,0,0,0,0,0.169563374,0.974989402,5.426027978,4.535820263,0.084781687,0,0,0.084781687,0.084781687,0.551080967,0,0,1.695633743,0.339126749,0,0.084781687,0.254345061,1.398897838,0,0,0,0.466299279,0,14.66723188,5.722763883,0,0.084781687,2.501059771,0.59347181,0.296735905,0.084781687,0,0.211954218,0,1.441288682,0,0.296735905,0.127172531,0.084781687,0.084781687,0,0.339126749,3.009749894,1.18694362,1.102161933,0,0,0,0.084781687,0.169563374,0.974989402,1.271725307,0,0.169563374,0.551080967,0.084781687,0.763035184,0.466299279,0.211954218,0,0,2.119542179,0.127172531,0.084781687,0.211954218
0,0,0,0,3.341780171,0,0,0,0,0,0.459296801,0.316756414,1.140323092,0,0,0.063351283,0,0.253405131,0,0,0,0.88691796,0.285080773,0.791891036,2.708267342,0.934431422,22.12543554,1.837187203,0.047513462,0,0.047513462,0,0,0.158378207,0,0,0,0,0.047513462,0.047513462,0.031675641,0.110864745,0.047513462,0,0.776053215,0.300918594,0.855242319,0,0,2.676591701,0.031675641,0.285080773,5.622426354,0.728539753,2.914159012,0,0,0,2.074754514,0.079189104,0,0,0,0,0.776053215,0.063351283,0.079189104,0,0.475134621,1.013620526,1.916376307,15.77446943,0.158378207,0,0,0.190053849,0,0,0,0,0.253405131,0,0.142540386,0,0.031675641,24.96040545,0.079189104,0,0,0.095026924,0,0,0,0,0,0.031675641,0,0,0.158378207,0,0,0,0,0,0,0,0,0,0.063351283,0,0,0
1.484650226,0.150981379,1.258178158,0,3.497735279,0,0,0,0,0.125817816,0.452944137,0,0.9562154,0,0.150981379,0,0.125817816,0.050327126,0.075490689,0,0,0.327126321,0,0.503271263,7.473578259,0.880724711,22.14393558,0.301962758,0,0,0.075490689,0.226472068,0,0,0,0,0,0,0,0.276799195,0.880724711,0.377453447,0,0.176144942,0,1.383995974,0,0.075490689,0.050327126,4.101660795,1.132360342,0,0,0.176144942,7.825868143,0.050327126,0.629089079,0.050327126,0.603925516,1.862103674,0,0.4781077,0.754906895,0,0.301962758,0.100654253,0,0.075490689,0.880724711,1.283341721,9.134373427,12.75792652,0,0,0.754906895,0.654252642,0,0.075490689,0,0,0.427780574,0,0,0,0.150981379,8.303975843,0,0.050327126,0,0.050327126,0.327126321,0,0,0,0.075490689,0.050327126,0.050327126,0.150981379,0.075490689,0,0.201308505,0.075490689,0,0,0,1.962757927,0.050327126,0,0,0,0.427780574,0
0,0.038659794,0,0,1.121134021,0,0,0,0,0,0.038659794,0,1.932989691,0,0,0.386597938,0,1.559278351,0,0,0.257731959,0.219072165,0.154639175,3.865979381,1.069587629,1.636597938,5.012886598,0,3.943298969,0.103092784,0,0,0.154639175,0.025773196,0,0,0,0,0.257731959,0.528350515,0,1.056701031,0.347938144,1.842783505,0.283505155,1.791237113,1.056701031,0,0.270618557,3.234536082,0,0.682989691,1.75257732,0.670103093,5.992268041,0.283505155,0,0,0.115979381,1.907216495,0,0.06443299,0,0,4.574742268,0.051546392,0.038659794,0.231958763,0.167525773,16.25,5.128865979,0,0.06443299,0,0,0.206185567,0,0,0.077319588,0,1.134020619,0,0.206185567,0,0.335051546,1.958762887,0.425257732,0,0,13.62113402,0.090206186,0,0,0,0,0,0,0.734536082,0.141752577,0,0.077319588,0,0,0,0,0.06443299,0,0.025773196,2.474226804,0,0,0
