,OTU,Kingdom,Phylum,Class,Order,Family,Genus,Oliver35,Oliver36,Oliver40,Oliver41,Oliver42,Oliver46,Oliver47,Oliver48,Oliver104,Oliver105,Oliver106,Oliver107,Oliver108,Oliver109,Oliver116,Oliver117,Oliver118,Oliver119,Oliver120,Oliver121,Oliver128,Oliver129,Oliver130,Oliver131,Oliver132,Oliver133
1,OTU01,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis,0,0,0,0,0,0,0,0,1148,512,0,0,0,859,19,766,0,0,0,0,0,0,0,6,2,1057
2,OTU02,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,0,2,0,0,0,0,0,0,24,166,0,0,0,2,0,13,0,0,0,0,0,0,0,2,48,1114
3,OTU03,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis,0,18,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
4,OTU04,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,0,0,8,26,40,0,0,0,14,29,0,0,0,35,76,74,0,0,0,0,0,0,0,1032,188,40
5,OTU05,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Rhodanobacter,330,156,563,500,453,78,963,348,2,3,242,303,127,7,166,77,202,346,461,149,133,356,91,83,245,0
6,OTU06,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,3,2,6,3,4,2,7,7,242,204,2,0,0,150,0,258,0,0,0,0,0,0,0,0,0,317
7,OTU07,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,0,0,0,0,0,0,0,0,11,11,0,0,0,90,447,245,0,0,0,0,0,0,0,12,289,0
8,OTU08,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,250,68,242,241,307,65,270,315,26,122,54,189,111,39,198,64,253,257,318,86,172,287,122,52,86,88
9,OTU09,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,0,0,0,0,0,0,0,0,178,100,0,0,0,726,65,0,0,0,0,0,0,0,0,49,0,22
10,OTU010,Bacteria,Actinobacteria,Actinobacteria,unclassified,unclassified,Actinobacterium,6,13,4,31,71,57,116,43,0,0,45,51,29,0,0,0,17,41,44,23,22,37,45,0,0,0
11,OTU011,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,0,0,0,0,0,0,0,0,150,0,0,0,0,3,540,477,0,0,0,0,0,0,0,2,673,0
12,OTU012,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339
13,OTU013,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,0,0,0,0,12,0,4,0,73,10,0,0,0,12,671,186,0,0,0,0,0,0,0,100,79,0
14,OTU014,Bacteria,Acidobacteria,Acidobacteria_Gp1,Acidobacteria_Gp1_order_incertae_sedis,Acidobacteria_Gp1_family_incertae_sedis,Acidobacteria_Gp1,196,60,182,176,214,82,296,299,0,2,69,133,59,52,75,97,148,164,252,56,111,224,67,190,124,2
15,OTU015,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Gemmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
16,OTU016,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,9,3,15,6,13,3,7,11,110,18,5,6,0,319,206,227,2,6,5,0,7,7,4,4,18,40
17,OTU017,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,57,10,5,3,14,3,2,10,2,8,0,0,0,10,5,9,9,6,5,3,4,14,5,0,9,0
18,OTU018,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,unclassified,Chitinophaga,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0
19,OTU019,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified,Actinomadura,111,137,75,50,159,19,94,84,0,3,50,65,39,0,0,3,64,94,84,177,184,147,69,3,2,3
20,OTU020,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,3,9,4,0,3,0,0,3,0,0,0,0,0,44,400,89,0,3,0,0,2,0,0,341,51,0
21,OTU021,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,141,146,4,15,60,4,6,40,60,67,4,53,29,4,31,30,17,34,18,38,30,45,30,50,20,300
22,OTU022,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,0,0,0,0,0,0,0,0,8,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,31
23,OTU023,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,67,140,7,0,32,3,6,15,97,55,0,0,6,0,96,0,0,17,4,25,3,17,4,44,5,40
24,OTU024,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,5
25,OTU025,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,37,39,0,0,0,0,0,0,11,40,0,0,0,16,6,2,0,0,0,0,0,0,0,49,0,338
26,OTU026,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,28,2,0,0,0,0,0,0,0,6,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0
27,OTU027,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331
28,OTU028,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis,0,0,0,0,0,0,0,0,62,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
29,OTU029,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,0,0,0,0,0,0,0,0,151,0,0,0,0,0,21,0,0,0,0,0,0,0,0,188,47,0
30,OTU030,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,OTU031,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,0,0,0,0,0,0,0,0,0,18,0,0,0,5,11,0,0,0,0,0,0,0,0,44,0,82
32,OTU032,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,35,43,0,0,3,0,0,0,12,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
33,OTU033,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,OTU034,Bacteria,unclassified,unclassified,unclassified,unclassified,uncultured Planctomycetaceae ,25,18,0,0,3,2,0,6,0,28,0,0,8,2,3,0,4,6,10,10,6,13,8,0,0,78
35,OTU035,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,37,6,101,62,39,67,232,48,0,0,73,42,40,6,0,5,16,73,102,18,22,39,82,0,3,0
36,OTU036,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,Hyphomicrobiaceae,Rhizomicrobium,256,239,167,71,195,80,334,426,22,104,20,119,118,54,180,290,91,196,218,73,111,210,94,36,242,0
37,OTU037,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis,11,0,3,21,6,3,13,2,0,0,0,0,4,0,0,0,0,0,3,3,0,0,5,0,0,0
38,OTU038,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,7,0,0,0,0,0,0,0,0,0,0
39,OTU039,Bacteria,Verrucomicrobia,Spartobacteria,Spartobacteria_order_incertae_sedis,Spartobacteria_family_incertae_sedis,Spartobacteria_genera_incertae_sedis,51,73,9,2,11,5,0,16,0,27,0,2,14,0,0,0,0,2,0,4,0,0,3,0,0,0
40,OTU040,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,0,0,0,0,0,0,0,3,0,35,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
41,OTU041,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Archangium,47,129,0,0,0,0,0,30,0,42,0,3,0,0,8,2,0,0,0,3,0,0,0,0,0,30
42,OTU042,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinospicaceae,Actinospica,50,10,65,105,72,16,148,63,0,0,95,125,73,2,0,0,31,52,125,46,30,67,45,20,0,0
43,OTU043,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,OTU044,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,40,12,48,7,85,50,32,92,0,0,0,30,37,0,11,0,45,82,111,10,22,76,24,0,0,0
45,OTU045,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Niastella,0,0,0,0,0,0,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0
46,OTU046,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0,0,0,0,4,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,OTU047,Bacteria,unclassified,unclassified,unclassified,Verrucomicrobiaceae,Prosthecobacter ,0,4,2,3,12,7,14,218,0,0,0,0,13,0,0,0,10,48,3,3,5,31,2,0,0,0
48,OTU048,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,25,14,8,0,12,0,0,10,0,6,0,14,34,0,0,0,3,0,2,4,0,3,2,0,0,0
49,OTU049,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Granulibacter ,75,35,37,36,70,16,68,43,0,0,34,44,31,0,0,0,41,47,58,19,23,58,42,2,2,0
50,OTU050,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,unclassified,Actinobacterium,55,19,44,32,55,8,89,43,0,0,39,47,39,0,0,0,29,43,45,24,22,35,39,0,0,0
51,OTU051,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,0,0,0,0,0,0,0,0,7,81,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,191
52,OTU052,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,35,41,6,7,25,0,5,8,0,29,0,0,0,0,14,9,2,4,4,0,0,3,0,19,23,124
53,OTU053,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_order_incertae_sedis,Alphaproteobacteria_family_incertae_sedis,Rhizomicrobium,156,175,16,8,33,19,26,73,0,0,0,48,30,0,4,3,29,28,43,24,12,39,36,0,16,64
54,OTU054,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis,0,0,0,0,0,0,14,0,172,5,0,2,0,0,0,45,3,4,18,0,7,17,0,0,0,0
55,OTU055,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified Bacteroidetes,0,0,4,3,0,8,40,9,0,0,0,0,0,0,0,0,5,4,0,0,3,5,0,0,0,0
56,OTU056,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella,15,3,4,4,7,0,6,5,0,0,8,5,2,0,0,0,4,3,6,4,4,4,4,0,0,0
57,OTU057,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,14,51,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
58,OTU058,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
59,OTU059,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis,0,5,0,0,0,0,6,0,0,0,0,13,6,0,0,0,41,32,143,3,12,52,4,0,0,0
60,OTU060,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,unclassified,Chitinophaga,51,5,0,0,152,0,0,22,0,0,0,4,27,0,0,0,9,13,52,3,23,63,4,0,0,0
61,OTU061,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Granulibacter ,26,9,12,7,29,7,8,22,0,4,2,7,13,0,0,25,6,14,10,10,5,9,5,0,33,0
62,OTU062,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,OTU063,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,Spirosoma,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,OTU064,Bacteria,Armatimonadetes,Armatimonadetes_gp5_class_incertae_sedis,Armatimonadetes_gp5_order_incetae_sedis,Armatimonadetes_gp5_family_incetae_sedis,Armatimonadetes_gp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,OTU065,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified Methyloligella,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0
66,OTU066,Bacteria,Acidobacteria,Acidobacteria_Gp1,Acidobacteria_Gp1_order_incertae_sedis,Acidobacteria_Gp1_family_incertae_sedis,Acidobacteria_Gp1,42,8,19,7,45,14,48,27,0,0,15,27,18,0,0,0,10,20,24,14,7,14,22,2,2,0
67,OTU067,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Niastella,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,136
68,OTU068,Bacteria,Armatimonadetes,Armatimonadetes_gp5_class_incertae_sedis,Armatimonadetes_gp5_order_incetae_sedis,Armatimonadetes_gp5_family_incetae_sedis,Armatimonadetes_gp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,OTU069,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,30,79,0,0,0,0,0,0,0,52,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
70,OTU070,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,0,87,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,OTU071,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,74,40,47,38,17,16,40,32,26,34,6,5,21,111,13,0,0,22,20,0,7,12,6,0,23,0
72,OTU072,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,16,0,16,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
73,OTU073,Bacteria,unclassified,unclassified,unclassified,unclassified,uncultured Planctomycetaceae ,18,13,19,7,14,2,10,15,0,0,17,19,7,0,0,0,8,2,14,10,8,12,17,0,0,0
74,OTU074,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,unclassified,unclassified Sphingobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,2,0,0,34,0
75,OTU075,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unclassified,Roseiarcus,114,19,35,46,94,14,89,137,0,0,8,54,49,2,0,4,43,78,111,26,53,103,44,0,20,0
76,OTU076,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis,8,4,0,0,0,0,0,0,0,0,0,33,18,0,0,0,0,0,3,0,5,13,8,0,0,0
77,OTU077,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified Verrucomicrobia,0,0,0,2,2,0,0,2,0,0,0,5,53,0,0,0,0,0,0,2,0,0,0,0,0,0
78,OTU078,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
79,OTU079,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,Dyadobacter,0,0,0,0,0,0,0,0,0,106,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
80,OTU080,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,OTU081,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,OTU082,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,Cytophaga,125,33,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,OTU083,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,OTU084,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_order_incertae_sedis,Alphaproteobacteria_family_incertae_sedis,Rhizomicrobium,4,3,3,0,2,0,4,2,0,0,0,5,0,0,0,0,5,6,4,0,2,4,0,0,0,0
85,OTU085,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Granulibacter ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
86,OTU086,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia,0,0,0,0,0,0,0,0,61,84,0,0,0,4,26,33,0,0,0,0,0,0,0,3,0,19
87,OTU087,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,8,2,31,0,17,0,0,0,47,0,13,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0
88,OTU088,Bacteria,unclassified,unclassified,unclassified,unclassified,uncultured Planctomycetaceae ,5,0,0,0,11,2,4,13,0,0,0,4,15,0,0,0,7,15,9,4,7,30,12,0,0,0
89,OTU089,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified Bacteroidetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,OTU090,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Tardiphaga,3,0,0,0,0,0,0,0,0,215,0,0,0,0,68,0,0,0,0,0,0,0,0,5,0,33
91,OTU091,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,Rhizomicrobium,55,26,47,34,65,20,42,54,0,0,7,38,34,0,3,3,21,37,20,26,18,36,36,2,5,0
92,OTU092,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta,29,15,24,38,27,55,21,19,0,0,7,15,12,0,0,0,4,13,6,2,14,19,34,0,0,0
93,OTU093,Bacteria,Verrucomicrobia,Subdivision3,Subdivision3_order_incertae_sedis,Subdivision3_family_incertae_sedis,3_genus_incertae_sedis,3,0,0,0,5,6,4,15,0,0,0,0,0,0,0,0,3,5,0,0,2,3,2,0,0,0
94,OTU094,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,5,33,0,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50
95,OTU095,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis,0,0,0,0,0,0,5,0,0,0,0,3,2,0,0,0,16,4,32,0,0,0,3,0,0,0
96,OTU096,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,5,6,20,6,5,8,12,15,0,14,0,0,0,12,24,90,0,0,0,4,0,0,0,3,13,0
97,OTU097,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinomadura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,26,10,0
98,OTU098,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified Bacteroidetes,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,OTU099,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,64,0,39,20,57,8,51,56,0,0,3,33,10,0,0,0,23,56,45,31,31,55,2,0,0,0
100,OTU0100,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,4,3,0,8,0,0,0,33,0,45,0,0,0,0,4,0,14,0,0,0,0,0,2,5,0,16
101,OTU0101,Bacteria,Acidobacteria,Acidobacteria_Gp1,Acidobacteria_Gp1_order_incertae_sedis,Acidobacteria_Gp1_family_incertae_sedis,Acidobacteria_Gp1,23,11,11,2,17,2,17,17,0,7,10,8,4,0,8,6,0,2,6,4,0,11,5,6,0,85
102,OTU0102,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,44,16,27,18,42,9,38,49,36,41,7,40,12,29,37,44,3,17,19,4,24,23,13,3,53,74
103,OTU0103,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis,4,0,48,42,35,2,72,6,0,0,8,32,21,0,0,0,9,23,49,11,14,14,17,0,0,0
104,OTU0104,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Terrimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,OTU0105,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,2,0,0,0,0,7,15,82
106,OTU0106,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,0,0,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,3,3,0
107,OTU0107,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,7,0,2,2,6,3,0,5,0,0,0,4,0,0,0,0,0,3,0,2,0,0,0,0,3,0
108,OTU0108,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,0,0,0,0,3,0,0,0,4,6,0,0,0,7,25,0,0,0,0,0,0,0,0,18,0,12
109,OTU0109,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,4,0,44,26,31,2,22,9,79,48,2,4,2,18,41,59,12,30,24,0,21,22,2,542,142,112
110,OTU0110,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,Cohnella,0,0,0,0,0,0,0,0,23,0,0,0,0,30,4,10,0,0,0,0,0,0,0,97,12,0
111,OTU0111,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified,Actinomadura,21,9,37,30,25,9,58,28,0,0,24,36,16,0,0,0,16,26,33,10,12,29,12,0,6,0
112,OTU0112,Bacteria,Acidobacteria,Acidobacteria_Gp1,Acidobacteria_Gp1_order_incertae_sedis,Acidobacteria_Gp1_family_incertae_sedis,Acidobacteria_Gp1,37,8,14,22,39,12,42,29,0,0,21,32,19,0,0,0,22,38,70,13,28,51,10,0,4,0
113,OTU0113,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,9,2,20,11,4,0,0,0,0,0,0,13,13,0,0,0,0,0,9,5,0,0,0,0,0,0
114,OTU0114,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,33,41,4,4,12,0,3,5,7,20,0,0,0,0,28,0,2,3,5,0,6,6,0,0,26,15
115,OTU0115,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis,2,3,2,0,0,0,0,0,0,0,0,16,7,0,0,0,15,8,40,0,4,13,3,0,0,0
116,OTU0116,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidisphaera,78,31,35,28,45,7,26,55,0,0,11,21,23,16,3,17,6,19,41,24,12,23,24,0,50,0
117,OTU0117,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,OTU0118,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,OTU0119,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_2,Pullulanibacillus,0,0,0,0,0,0,0,0,45,3,0,0,0,59,12,11,0,0,0,0,0,0,0,0,3,18
120,OTU0120,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,OTU0121,Bacteria,Actinobacteria,Actinobacteria,unclassified,unclassified, Actinobacterium,5,0,2,2,3,0,12,8,0,0,0,21,6,0,0,0,22,27,21,10,6,27,8,0,0,0
