3_genus_incertae_sedis,Acidisoma,Acidisphaera,Acidobacteria_Gp1,Acidobacteria_Gp14,Acidobacteria_Gp2,Acidobacteria_Gp3,Acidocella,Acidothermus,Actinobacterium,Actinomadura,Actinospica,Afipia,Anaeromyxobacter,Aquicella,Archangium,Armatimonas_Armatimonadetes_gp1,Asticcacaulis,Azospirillium,Bdellovibrio,Beijerinckia,Bordetella,Bradyrhizobium,Burkholderia,Caulobacter,Chitinophaga,Collimonas,Conexibacter,Cryptosporangium,Devosia,Dongia,Escherichia_Shigella,Frankineae,Gemmatimonas,Granulibacter,Hyphomicrobium,Iamiaceae,Leifsonia,Mesorhizobium,Methylocystis,Methylovirgula,Microbacterium,Mucilaginibacter,Mycobacterium,Nitrosospira,Nocardia,Nocardioides,Novosphingobium,OD1_genus_incertae_sedis,Opitutus,Paenibacillus,Parachlamydia,Phenylobacterium,Planctomyces,Porphyrobacter,Prosthecobacter,Pseudolabrys,Ramlibacter,Rhizobium,Rhizomicrobium,Rhodanobacter,Rhodobacter,Rhodoferax,Roseiarcus,Singulisphaera,Sinobacteraceae,Spartobacteria,Spartobacteria_genera_incertae_sedis,Sphingomonas,Spirochaeta,Stella,Stigmatella,Streptomyces,Tardiphaga,Telmatospirillum,Thermoanaerobacteraceae,Thermomonosporaceae,TM7_genus_incertae_sedis,unclassified,unclassified_Acidimicrobiaceae,unclassified_Actinomycetales,unclassified_Bacteroidetes,unclassified_Betaproteobacteria,unclassified_Chloroflexi,unclassified_Firmicutes,unclassified_Gammaproteobacteria,unclassified_Myxococcales,unclassified_Rhizobiaceae,unclassified_Rhodospirillaceae,unclassified_Rubrobacteria,Unclassified_Solirubrobacter,unclassified_Sphingobacter,unclassified_Verrucomicrobia,uncultured_Planctomycetaceae,Uncultured_Rhizobium,uncultured_Thermomicrobia,Vampirovibrio,Verrucomicrobium,Wandonia,Xanthomonadaceae
2.50152532,0.244051251,1.098230628,11.95851129,0,0,0.488102502,0,0.427089689,4.331909701,5.186089079,0.488102502,0,0.244051251,0.122025625,0.244051251,0.122025625,0.122025625,0.854179378,1.647345943,0,0,1.830384381,0.366076876,0.610128127,2.318486882,0.183038438,0.732153752,0.244051251,0.427089689,0.183038438,0.244051251,0.244051251,1.098230628,2.806589384,0,0,0,1.58633313,0.244051251,1.708358755,5.857230018,2.074435631,0,0.488102502,0.122025625,0.244051251,0,1.525320317,0.488102502,0.305064063,0,1.525320317,0.122025625,0.91519219,2.074435631,2.745576571,0.122025625,0,15.55826724,3.416717511,0.122025625,2.623550946,2.867602196,0,0.366076876,0.183038438,0.122025625,0.122025625,0.183038438,0,0.122025625,0.305064063,0.732153752,0,0.122025625,0.610128127,0.305064063,1.220256254,0,0.122025625,0,0.122025625,0.122025625,0,1.159243441,0,0.244051251,0.854179378,0.244051251,0.122025625,0.610128127,0.183038438,1.342281879,0.305064063,0,0.183038438,0.610128127,0.244051251,0
1.245421245,0.10989011,0.512820513,9.926739927,0.256410256,0.10989011,0.10989011,0.10989011,0.183150183,3.663003663,5.897435897,0.622710623,0.476190476,0,0.073260073,0,0.146520147,0.073260073,1.245421245,1.172161172,0.073260073,0.402930403,0.512820513,8.827838828,0.256410256,2.93040293,0,0.256410256,0.32967033,0.293040293,0,0,0.293040293,0.659340659,2.124542125,0,0.073260073,0.073260073,1.135531136,0.21978022,1.062271062,4.688644689,1.794871795,0.10989011,0.146520147,0.146520147,0.146520147,0.256410256,2.234432234,0.256410256,0,0.146520147,0.952380952,0.073260073,0.476190476,0.293040293,0.732600733,0.10989011,0,14.13919414,14.83516484,0.183150183,2.087912088,2.380952381,0.146520147,0.073260073,0,0.073260073,0.293040293,0.073260073,0.073260073,0.512820513,0.21978022,0.183150183,0,0.183150183,0.732600733,0.659340659,0.769230769,0.21978022,0.073260073,0.073260073,0,0,0.183150183,0.915750916,0,0.21978022,0.293040293,0,0.32967033,0.256410256,0.146520147,0.695970696,0.146520147,0,0,0.073260073,0.366300366,0.146520147
0.946870068,0.105207785,0.526038927,11.36244082,0.157811678,0,0.368227249,0,0.105207785,8.153603367,10.0999474,1.157285639,0,0.946870068,0,0.210415571,0.315623356,0.631246712,1.36770121,0.946870068,0,0,0.368227249,0.157811678,0.157811678,3.261441347,0,1.052077854,0.210415571,0.315623356,0,0,0.368227249,0.78905839,2.524986849,0,0,0,0.368227249,0.105207785,0.368227249,5.049973698,3.314045239,0,0,0,0,0,0.683850605,0.473435034,0,0.263019463,0.999473961,0.105207785,0.210415571,0,0.263019463,1.104681746,0,9.468700684,9.78432404,0.105207785,0,0.841662283,0,0.368227249,0,0,0,0.420831142,0.263019463,0.683850605,0.157811678,0,0.105207785,0.105207785,2.893214098,4.050499737,1.262493425,0.105207785,1.735928459,0.526038927,0.157811678,1.525512888,0.157811678,1.788532351,0.105207785,0,0.263019463,0,0.631246712,0,0.157811678,0.78905839,0,0.631246712,0,0.157811678,0.736454498,0
1.24391563,0.270416441,0.703082747,12.60140617,0.135208221,0.081124932,0.594916171,0.054083288,0.054083288,4.299621417,3.407247161,3.785830178,0.054083288,0.270416441,0,0.108166577,0.432666306,0.054083288,1.027582477,1.946998378,0.054083288,0,0.216333153,0.297458085,0.676041103,5.002704164,0,0.811249324,0.081124932,0.351541374,0.054083288,0,0.703082747,0.486749594,1.946998378,0,0,0,0.757166036,0.162249865,0.189291509,4.759329367,5.489453759,0.135208221,0,0.108166577,0.108166577,0.135208221,0.270416441,0.405624662,0.054083288,0.135208221,1.325040562,0,0.135208221,1.135749054,0.648999459,0,0,13.65603029,11.62790698,0.054083288,1.541373716,2.271498107,0.081124932,0.243374797,0,0.108166577,0.216333153,0.162249865,0,0.351541374,0.297458085,0.054083288,0.135208221,0.540832883,0.32449973,2.190373175,1.135749054,0.676041103,0.216333153,0.838290968,0.486749594,0,0.108166577,0.757166036,0.189291509,0,0.405624662,0.135208221,0.243374797,0,0.32449973,1.514332071,0,0.081124932,0,0.135208221,0.676041103,0
1.493930906,0.326797386,0.700280112,11.34453782,0.093370682,0,0.233426704,0.093370682,0.233426704,4.808590103,2.941176471,1.587301587,0.233426704,0.373482726,0,0,0.466853408,0.280112045,0.887021475,1.72735761,0,0.093370682,0.373482726,0.56022409,0.60690943,4.295051354,0,0.513538749,0,0.887021475,0.140056022,0,0.093370682,0.887021475,3.034547152,0.140056022,0.093370682,0,1.307189542,0.373482726,1.540616246,5.882352941,1.960784314,0.186741363,0,0.093370682,0,0.60690943,2.100840336,0,0,0,1.213818861,0.326797386,0.746965453,2.89449113,0.373482726,0,0.186741363,11.99813259,10.83099907,0,1.540616246,2.941176471,0.233426704,0,0.186741363,0.420168067,0.420168067,0.093370682,0,0.093370682,0.466853408,0.093370682,0,0.280112045,0.56022409,2.614379085,1.027077498,0.233426704,0,0.140056022,0.700280112,0,0,1.073762838,0,0.140056022,0.326797386,0,0.653594771,0.233426704,0.233426704,1.633986928,0,0,0.093370682,0.233426704,0.840336134,0.140056022
0.106632544,0.063979527,0,0.74642781,0,0,0,0,0,0,0,0,0.213265089,0,0,0,0,4.563872894,0,0,0.319897633,0.063979527,2.431222009,0.170612071,1.428876093,1.10897846,1.514182128,0,0,0,0,0.127959053,0,0.127959053,0.085306035,0.19193858,0,0.575815739,2.60183408,0,0.149285562,8.210705907,1.919385797,0.106632544,0,0,8.466624014,0.127959053,0,0,1.023672425,0,1.748773726,0.127959053,0,0.426530177,1.85540627,0.042653018,7.762849222,5.075709106,0.810407336,0,0,0,0,0,0,0.319897633,3.838771593,0,0,0.19193858,1.322243549,1.172957987,0,0,0,13.58498614,0.277244615,0,0,0.831733845,0,0,0,0.085306035,0,0,0,0,0,0,0,2.473875027,0,0,0.042653018,0,0,1.30091704
