Sample,Condition,Fertilizer,Plant,Timepoint,Pielou,shannon,totalspecies
Oliver137,Sterile,No_fertilizer,No_plant,T3,0.766704436,3.856859071,153
Oliver138,Sterile,Struvite,No_plant,T3,0.837568683,3.822955103,96
Oliver139,Sterile,No_fertilizer,No_plant,T3,0.803442805,3.683759131,98
Oliver140,Sterile,No_fertilizer,No_plant,T3,0.782479899,4.018659041,170
Oliver141,Sterile,Organic,No_plant,T3,0.786153922,3.896042876,142
Oliver142,Sterile,Organic,No_plant,T3,0.781085827,3.79593059,129
Oliver143,Sterile,Organic,No_plant,T3,0.830323954,3.879961714,107
Oliver144,Sterile,Organic,No_plant,T3,0.766665517,3.624325227,113
Oliver145,Sterile,Struvite,No_plant,T3,0.78859798,4.077433235,176
Oliver146,Sterile,No_fertilizer,No_plant,T3,0.812674237,3.683526835,93
Oliver147,Sterile,Organic,No_plant,T3,0.737082632,3.444260976,107
Oliver148,Sterile,Struvite,No_plant,T3,0.851246058,3.221276508,44
Oliver149,Sterile,Struvite,No_plant,T3,0.839129655,4.719279871,277
Oliver150,Sterile,Struvite,No_plant,T3,0.88529351,5.004111988,285
Oliver199,Sterile,Struvite,No_plant,T3,0.829462535,4.167120674,152
Oliver201,Sterile,Struvite,No_plant,T3,0.794258975,3.633505254,97
Oliver202,Sterile,No_fertilizer,No_plant,T3,0.797495036,3.762979427,112
Oliver203,Sterile,Organic,No_plant,T3,0.697177361,3.393534824,130
Oliver204,Sterile,Organic,No_plant,T3,0.714646627,2.901781903,58
Oliver205,Sterile,No_fertilizer,No_plant,T3,0.84380133,4.233587398,151
Oliver206,Sterile,Organic,No_plant,T3,0.865590139,4.091980279,113
Oliver207,Sterile,Organic,No_plant,T3,0.898112983,4.336371255,125
