3_genus_incertae_sedis,Acidisoma,Acidisphaera,Acidobacteria_Gp1,Acidobacteria_Gp14,Acidobacteria_Gp3,Acidocella,Acidothermus,Actinobacterium,Actinomadura,Actinospica,Afipia,Anaeromyxobacter,Archangium,Armatimonas_Armatimonadetes_gp1,Arthrobacter,Asticcacaulis,Azospirillium,Bdellovibrio,Beijerinckia,Bordetella,Bradyrhizobium,Burkholderia,Caulobacter,Chitinophaga,Cohnella,Collimonas,Conexibacter,Cryptosporangium,Devosia,Dyella,Escherichia_Shigella,Fluviicola,Frankiaceae,Frankineae,Gemmatimonas,Granulibacter,Hyphomicrobium,Kaistia,Labrys,Leifsonia,Mesorhizobium,Methylocystis,Methylovirgula,Microbacterium,Mucilaginibacter,Mycobacterium,Nocardia,Nocardioides,Novosphingobium,OD1_genus_incertae_sedis,Opitutus,Paenibacillus,Phenylobacterium,Planctomyces,Porphyrobacter,Prosthecobacter,Pseudolabrys,Pullulanibacillus,Rhizobium,Rhizomicrobium,Rhodanobacter,Rhodobacter,Rhodoferax,Roseiarcus,Singulisphaera,Sinobacteraceae,Sorangiineae,Spartobacteria_genera_incertae_sedis,Sphingomonas,Spirochaeta,Stella,Stigmatella,Streptomyces,Tardiphaga,Telmatospirillum,Thermoanaerobacteraceae,Thermomonosporaceae,TM7_genus_incertae_sedis,unclassified,unclassified Acidimicrobiaceae,unclassified Actinomycetales,unclassified Bacteroidetes,unclassified Betaproteobacteria,unclassified Gammaproteobacteria,unclassified Myxococcales,unclassified Rhizobiaceae,unclassified Rhodospirillaceae,unclassified Rubrobacteria,Unclassified Solirubrobacter,unclassified Verrucomicrobia,uncultured Chloroflexi,uncultured Planctomycetaceae,uncultured Thermomicrobia,Verrucomicrobium,Wandonia,Xanthomonadaceae
0,0.238357169,0.055005501,1.521818849,0,0,0,0,0,0,0,2.420242024,0,0.146681335,0,4.71213788,0,0,0.256692336,0.201686835,0.036670334,0.568390172,21.83718372,2.603593693,19.89365603,0.073340667,0.055005501,0,0,0.091675834,0,1.595159516,0,0,0,0,0,0,0.476714338,0.165016502,0.385038504,0.770077008,0.220022002,0,10.41437477,0.531719839,0,0.036670334,10.10267693,0.036670334,0,0,0.146681335,0.715071507,0,0,0,0.183351669,0.220022002,0.055005501,6.545654565,4.235423542,0,0,0.055005501,0.275027503,0,0,0,0.531719839,0,0,0,2.145214521,1.375137514,0,0,0,0.34836817,0,0.055005501,0,0,0,0,0,0,0,0,0,0,0,0.055005501,0,0,0,0.110011001
0,0.52103435,0.328058665,2.103434967,0,0,0,0,0,0.096487843,0,2.720957159,0,0.13508298,0,0.13508298,0.057892706,0,0,0.077190274,0.38595137,0.578927055,10.99961405,0.463141644,14.35739097,0.347356233,0,0,0,0.173678117,0,0.38595137,0,0,0,0,0.482439213,0.13508298,0.636819761,0.115785411,0.52103435,0.173678117,0.038595137,0,7.23658819,0.096487843,0.038595137,0,11.63643381,0,0,0,0.482439213,1.350829795,0,0,0,0.13508298,0.212273254,0.675414898,7.48745658,14.49247395,0,0,0.13508298,0.038595137,0,0,0,0.250868391,0,0,0.038595137,2.566576611,0,0,0.077190274,0,15.65032806,0,0,0,0,0,0,0.038595137,0,0,0,0,0,0,0,0,0,0,1.177151679
1.302083333,0.130208333,0.260416667,11.15451389,0.130208333,0.824652778,0.173611111,0,6.423611111,5.295138889,1.345486111,0,0.086805556,0,0.086805556,0,0,0.78125,1.953125,0,0,0.737847222,0.520833333,0.78125,2.821180556,0,0.217013889,0.824652778,0.086805556,0.390625,0,0.130208333,0,0.217013889,0.694444444,0.868055556,2.256944444,0,0,0,0,0.520833333,0.260416667,1.258680556,11.24131944,0.868055556,0.086805556,0,0.217013889,0,0.347222222,0.260416667,0,0.824652778,0.390625,0.347222222,0.434027778,1.866319444,0,0,11.45833333,11.37152778,0.086805556,0.998263889,2.170138889,0.477430556,0.217013889,0,0,0,0.173611111,0,0.130208333,0.520833333,0,0.173611111,0,0.564236111,4.036458333,0.477430556,0.694444444,0.217013889,0.347222222,0,0.824652778,1.953125,0.217013889,0.303819444,0.130208333,0.694444444,0,0,1.345486111,0,0.390625,0.303819444,0
1.457870027,0.17296763,0.469483568,8.623671856,0.098838646,0.84012849,0.074128984,0.148257969,6.251544354,5.361996541,1.284902397,0.148257969,0.123548307,0.098838646,0.247096615,0,0.049419323,1.013096121,2.026192241,0,0,0.84012849,0.271806276,1.853224611,2.742772424,0,0.247096615,1.383741043,0.148257969,0.148257969,0,0.049419323,0.049419323,0,0.617741537,0.815418829,2.866320731,0.049419323,0,0,0,0.420064245,0.296515938,0.963676798,6.597479615,2.643933778,0.098838646,0.123548307,0.222386953,0,0.074128984,0.543612553,0.098838646,1.383741043,0.123548307,0.17296763,1.186063751,2.026192241,0,0,12.94786261,11.094638,0.148257969,1.383741043,2.273288856,0.345935261,0.370644922,0.049419323,0.049419323,0.148257969,0.321225599,0.074128984,0.123548307,0.741289844,0.123548307,0.074128984,0.098838646,0.17296763,1.877934272,0.444773907,0.963676798,0.222386953,0.66716086,0.049419323,1.433160366,1.927353595,0.247096615,0.84012849,0.197677292,0.49419323,0.123548307,0.049419323,0.963676798,0.17296763,0.197677292,0.66716086,0
1.177478056,0.171269535,0.877756369,10.81138942,0.171269535,0.406765147,0.128452152,0,5.823164205,4.303147078,2.676086491,0,0.214086919,0.064226076,0.042817384,0,0,1.006208521,2.376364804,0,0,0.385356455,0.620852066,0.899165061,3.896381931,0,0.064226076,0.941982445,0.064226076,0.10704346,0.042817384,0,1.11325198,0.10704346,0.685078142,0.363947763,1.841147506,0.10704346,0,0.042817384,0,0.449582531,0.256904303,1.156069364,7.043459645,2.783129951,0.620852066,0.149860844,0.171269535,0.042817384,0.171269535,0.085634768,0,1.305930208,0.10704346,0.299721687,0.064226076,1.070434596,0,0,9.719546136,13.05930208,0.042817384,0.963391137,2.654677799,0.492399914,0.214086919,0.064226076,0.064226076,0,0.171269535,0,0.064226076,0.55662599,0,0.042817384,0.064226076,0.363947763,6.915007493,1.070434596,0.578034682,0.192678227,0,0,1.049025905,1.11325198,0.10704346,0.642260758,0.299721687,0.342539071,0.10704346,0.042817384,0.941982445,0.064226076,0.171269535,0.214086919,0.064226076
0.376952073,0.269251481,1.292407108,9.100700054,0,0.538502962,0.323101777,0.107700592,5.438879914,12.06246634,2.477113624,0.269251481,0.161550889,0.161550889,0.161550889,0,0.269251481,1.023155627,0.538502962,0.107700592,0.107700592,2.046311255,0.161550889,2.477113624,2.046311255,0,0,1.777059774,0,0.161550889,0.107700592,0,0,0,0.376952073,0.269251481,2.100161551,0,0,0,0,0.215401185,0.107700592,1.346257404,4.738826064,1.238556812,0.215401185,0.215401185,0.161550889,0.107700592,0,0,0,1.992460959,1.346257404,0,0.161550889,3.877221325,0,0,12.33171782,11.03931072,0.107700592,1.669359181,2.154011847,0.592353258,0.161550889,0,0.215401185,0,0.107700592,0.107700592,0.323101777,0,0,0.107700592,0.376952073,0.753904146,1.184706516,0.161550889,0.592353258,0,0,0.107700592,0.484652666,1.13085622,0.107700592,0.861604739,0.323101777,0.484652666,0.215401185,0,1.83091007,0.107700592,0.161550889,0.161550889,0
